"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
16.785121991994,16.5731935734756,16.9970504105124,16.4610054454857,17.1092385385023
16.785121991994,16.5672933118279,17.00295067216,16.4519817739927,17.1182622099952
16.785121991994,16.5615487081918,17.0086952757961,16.4431961608852,17.1270478231027
16.785121991994,16.5559480568328,17.0142959271551,16.4346307037872,17.1356132802008
16.785121991994,16.5504810495214,17.0197629344666,16.426269637622,17.143974346366
16.785121991994,16.5451385525412,17.0251054314468,16.4180989935759,17.1521449904121
16.785121991994,16.5399124274603,17.0303315565276,16.4101063249915,17.1601376589964
16.785121991994,16.5347953856055,17.0354485983824,16.402280484805,17.167963499183
16.785121991994,16.5297808688016,17.0404631151864,16.3946114431528,17.1756325408351
16.785121991994,16.5248629508055,17.0453810331824,16.3870901366285,17.1831538473595
16.785121991994,16.5200362552077,17.0502077287802,16.379708342723,17.1905356412649
16.785121991994,16.5152958865581,17.0549480974298,16.3724585744917,17.1977854094962
