"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
16.790417046157,16.593885156697,16.986948935617,16.4898474588603,17.0909866334538
16.7075301283265,16.4970913568923,16.9179688997607,16.3856918004348,17.0293684562182
16.737165363587,16.5214334163031,16.952897310871,16.4072318218091,17.067098905365
16.7589401180432,16.5380417938415,16.9798384422449,16.421105284611,17.0967749514754
16.7977096282684,16.5717630279591,17.0236562285776,16.4521541227846,17.1432651337521
16.8317391909002,16.6008546683625,17.0626237134379,16.4786317850586,17.1848465967417
16.8380636375024,16.6023446113215,17.0737826636833,16.4775624963805,17.1985647786243
16.7612592941879,16.5208029450102,17.0017156433655,16.3935130427588,17.129005545617
16.7814370377522,16.5363349112498,17.0265391642547,16.4065856830392,17.1562883924652
16.7995663202561,16.5499048515185,17.0492277889936,16.4177420533214,17.1813905871907
16.8007717296112,16.5466327016592,17.0549107575632,16.4120996267916,17.1894438324308
16.7866451888082,16.5281061355012,17.0451842421151,16.3912438279091,17.1820465497073
